welfare_id,welfare_ori_id,welfare_service_name,welfare_dept_name,welfare_target_detail,welfare_crit,welfare_service_content,welfare_howto,welfare_contact,welfare_phone,welfare_site_name,welfare_site_link,welfare_service_type,welfare_service_purpose,welfare_date,welfare_view,welfare_child,welfare_female,welfare_male,welfare_family,welfare_target,welfare_life
1,000000465790,누리과정(유아학비) 지원,유아교육정책과,"○ 지원대상 : 유치원, 어린이집을 이용하는 만 3~5세 아동

○ 추가지원 : 저소득층 유아(유아학비 지원 대상 자격이 있고, 사립유치원에 다니는 법정저소득층(기초생활수급자, 차상위계층, 한부모 가정) 유아)","○ 지원대상 : 유치원, 어린이집을 이용하는 만 3~5세 아동

○ 신청인 : 아동의 보호자

○ 신청장소 : 읍면동 주민센터(아동 주민등록 주소지)","○ 만 3~5세 누리과정 운영에 필요한 비용 지원 
 - 유아학비, 방과후과정비 지원(국공립 유치원 : 15만원, 사립유치원 : 35만원 지원)
 - 보육료(350,000원 지원)",읍면동 주민센터에 방문하거나 온라인으로 신청,주민센터,129,교육부,https://gov.kr/portal/rcvfvrSvc/dtlEx/000000465790,현금,"만 3~5세 누리과정 도입으로 유치원·어린이집에 국가수준 공통 교육과정(누리과정)을 적용함에 따라, 보호자의 소득수준에 관계없이 전 계층 유아학비, 보육료 지원",,84324,1,1,1,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,3,4","1, "
2,105100000001,근로·자녀장려금,소득지원국,"○ 전년도에 정해진 범위의 근로소득, 사업소득 또는 종교인소득이 있고 근로장려금과 자녀장려금 신청요건을 모두 충족하는 가구가 매년 5월 주소지 관할세무서에 신청하면 근로소득, 사업소득 또는 종교인소득에 따라 산정된 근로장려금과 부양자녀 수에 따라 자녀장려금 지급","○ 아래 요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구

- 소득요건 : 전년도 부부합산 연간 총소득이 가구 유형에 따라 정한 기총소득기준금액 미만일 것
  (근로장려금)
  ㆍ 단독가구 : 2,200만 원 미만
  ㆍ 홑벌이 가구 : 3,200만 원 미만
  ㆍ 맞벌이 가구 : 3,800만 원 미만
  (자녀장려금)
  ㆍ 4,000만 원 미만
 - 재산요건
  ㆍ 전년도 6월 1일 현재, 가구원 전체의 재산 합계액이 2억 원 미만일 것
- 가구요건
  ㆍ 단독가구 : 배우자1), 부양자녀2), 70세 이상 직계존속3)이 모두 없는 가구
  ㆍ 홑벌이가구 : 배우자 또는 부양자녀 또는 70세 이상 직계존속이 있는 가구(배우자가 있는 경우에는 신청인 또는 배우자의 총급여액 등이 3백만원 미만이어야 함)
  ㆍ 맞벌이가구 : 신청인과 배우자 각각의 총급여액 등이 3백만원 이상인 가구
     1) 배우자 : 법률상 배우자(사실혼 제외)
     2) 부양자녀 : (18세 미만) and (연간소득금액 100만원 이하)
     3) 직계존속 : (70세 이상) and (연간소득금액 100만원 이하) and (주민등록 동거 및 부양)
     *부양자녀 및 직계존속 중 동일주소 거주 중증장애인은 연령 제한 없음

<신청 제외> 위 요건을 모두 충족하는 경우에도 아래 유형에 해당하는 경우 신청할 수 없음
 -전년도 12.31.현재 대한민국 국적을 보유하지 아니한 자
  (대한민국 국적을 보유한 자와 혼인한 자, 대한민국 국적의 부양자녀가 있는 자는 신청할 수 있음)
 -전년도 중 다른 거주자의 부양자녀인 자
 -전문직 사업을 영위하는 자(그 배우자 포함)

※ 총소득과 총급여액 등 비교
 - 총소득 
  ㆍ 근로, 사업, 종교인, 기타, 이자, 배당, 연금소득의 합계금액(부부합산)
  ㆍ 신청자격 중 소득요건(가구 유형별 기준금액) 판정기준
 - 총급여액 등
  ㆍ 근로, 사업, 종교인 소득의 합계금액(부부합산)
  ㆍ 장려금 지급액을 산정·결정하는 기준
  ㆍ 총급여액 등에서 제외되는 소득 : 비과세 소득, 본인 및 배우자의 직계존비속에게 받은 근로소득 및 사업소득, 사업자등록 없는 자의 사업소득, 사업자등록 없는 자에게 받은 근로소득, 인정상여 근로소득(법인세법 제67조에 의한 소득처분)

* 자세한 신청요건은 국세청 홈택스(www.hometax.go.kr)에서 확인 바랍니다","○ 전년도 연간 부부합산 총 급여액 등(사업소득과 근로소득의 합계)에 따라
 - 근로장려금은
  ㆍ 단독가구 최대 150만 원
  ㆍ 홑벌이 가구 최대 260만 원
  ㆍ 맞벌이 가구 최대 300만 원 지급
 - 자녀 장려금은
  ㆍ 단독가구 해당 없음
  ㆍ 홑벌이 가구 부양자녀 1명 당 최대 70만 원
  ㆍ 맞벌이 가구 부양자녀 1명 당 최대 70만 원 지급

* 자세한 산정식은 홈택스(www.hometax.go.kr)에서 확인 바랍니다","○ 개별 신청 안내받은 경우에는 ARS, 모바일 국세청 홈택스 앱, 인터넷 홈택스 서비스, 서면 신청 가능
○ 개별 신청 안내받지 않은 경우에는 인터넷 홈택스 및 서면 신청 가능",관할 세무서,,국세청,https://gov.kr/portal/rcvfvrSvc/dtlEx/105100000001,현금,"○ 근로자녀장려세제
 - 저소득계층의 빈곤 탈출을 지원하고 사회안전망을 확충하기 위해 도입되었으며, 근로소득, 사업소득 또는 종교인소득에 따라 산정된 근로장려금을 환급 형태로 지급하여 저소득 계층의 근로를 유인하고 실질소득을 지원하기 위한 근로연계형 소득지원 제도
○ 자녀장려세제
 - 저소득층 가구의 소득 및 부양자녀 수에 따라 자녀 장려금을 세금 환급 형태로 지급하여 근로 및 출산을 장려하는 소득지원 제도('15년부터 시행)",○ 정기신청 : 5.1.~5.31.○ 상반기분 신청 : 9.1.~9.15.○ 하반기분 신청 : 3.1.~3.15.,169573,2,1,1,"0,2,3,4,7,8,9",4,"2, 3, 4, 5, "
3,119200000001,친환경 에너지 절감 장비 보급,어선안전정책과,"○ 어선 노후기관, 장비를 교체하고자 하는 연근해 어업인","○ 기관ㆍ장비ㆍ설비사업의 사업자 선정은 다음의 순위로 하되, 동일 순위자의 세부 우선순위는 저마력 기관 대체 신청자, 소형어선 어업인(수협 위판실적 要), 생분해성 

○ 기관·장비·설비사업의 사업자 선정은 다음의 순위로 하되, 동일 순위자의 세부 우선순위는 저마력 기관 대체 신청자, 소형어선 어업인(수협 위판실적 要), 생분해성 어구 시범사업 참여 어업인, 어업인 후계자, 국산기관 사용자 순으로 함
 - 다만, LED등의 경우 집어등을 작업등보다 우선으로 하며, 동일 순위자의 우선순위는 소형어선 어업인(수협 위판실적 要), 어업인 후계자 순으로 함
      * 대체기관의 단종 등 부득이한 경우 상위 마력을 적용할 수 있으며 그 허용범위는 10% 이하로 한다.
    ① 유류절감장치 및 LED 등을 설치하고자 하는 자(신청자가 있을 경우 최우선 지원)
    ② 육상용 기관을 해상용 디젤기관으로 대체하고자 하는 자
    ③ 사용연수가 많은 노후 기관을 해상용 디젤기관으로 대체하고자 하는 자
    ④ 무동력 어선에 신규로 해상용 디젤기관을 설치하고자 하는 자
    ⑤ 노후장비·설비를 대체하고자 하는 자
    ⑥ 법령으로 설치가 의무화된 노후장비·설비를 희망하는 자
    ⑦ 새로운 장비·설비를 설치하고자 하는 자
    ⑧ 가솔린 기관을 대체하고자 하는 자. 단, ①∼⑦ 순위보다 우선지원 불가하며 전체 보조금의 30%를 넘을 수 없음 
      * 기타 지자체 자체실정에 따라 우선순위 추가 가능

○  사업자 선정을 위하여 필요한 경우 자체심의 기구에 상정·심의할 수 있으며 사업포기에 대비하여 예비사업자를 선정할 수 있음 (당해년도 사업에만 적용)
      * 단, 추가모집 사업자 선정시 지자체 판단에 의거 심의생략 가능","○  유류비 절감을 위한 유류절감장치 설치
○  저효율(육상기관 포함)기관 및 사용연수가 많은 노후기관의 대체 또는 무동력 어선에 신규 기관 설치
○  어선의 안전·복지 등을 위한 장비 또는 설비
   ※ 어선법에 따른 예비검사, 확인 또는 검정을 받은 어선기관, 용품에 한정",해당 지자체(시군구청)에 방문하여 신청,시·군·구청,044-200-5526,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000001,현금,연근해 어업인을 대상으로 노후기관ㆍ장비ㆍ설비 대체 보급으로 안정적 조업기반 조성,연초 모집공고에 따름,660,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
4,119200000012,귀어 창업 및 주택구입 지원(융자),어촌어항과,"○ 귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자",○ 사업대상자 및 지원자격 요건을 갖춘 자 중에서 시·도지사(시장·군수·구청장)가 심사를 거쳐 지원대상자로 선발한 자,"○ 지원대상자로 선정된 자가 사업(일부완료 또는 완료) 후 담보(신용, 물건)를 제공하고, 금융기관(수협은행)에서 융자를 받으면, 해양수산부에서 이자 차이(기준금리-대출금리 2.0%)를 지원",시군구청에 방문하여 신청,시·군·구,1899-9597,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000012,현금(융자),"귀어업인이 되기를 희망하는 도시민들이 어촌지역에 안정적으로 정착할 수 있도록 창업(수산업, 어촌비즈니스업) 및 주택마련 자금을 지원하여 어촌사회 활력 제고",농어촌지역 전입일로부터 만 5년이내 신청 가능,2627,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
5,119200000023,양식시설 현대화 자금 지원,양식산업과,"○ 양식장 및 배양장의 시설 및 기계 장비 등 일체의 유형물(소모품 제외)
 - 양식어업별 지원대상 시설 및 장비 현황(별표 1)
 - 양식시설에 주로 사용되는 시설 및 장비를 우선하고 부대시설 및 부대장비는 주시설 및 장비가 없는 경우에 대신함
 - 어업인 주택 및 종사자 숙소 등 관리사는 제외","○ 양식산업발전법에 의한 면허·허가를 받은 양식어업인 또는 단체(해면양식업자) 
 - 제10조에 의한 면허(해조류양식어업, 패류양식어업, 어류등양식어업, 복합양식어업, 협동양식어업, 외해양식어업)를 받은 자(한정어업면허 제외) 
  · 양식산업발전법 시행규칙 제35조에 의한 행사계약에 의한 어업인은 포함 
 - 양식산업발전법 제43조에 의한 허가(육상해수양식어업, 종묘생산어업)를 받은 자 
  · 허가를 받아 양식을 하고자 하는 어업인 또는 단체도 포함 

○ 내수면어업법에 의한 면허·허가·신고를 받은 양식어업인 또는 단체(내수면양식업자) 
 - 신고를 하고 양식장을 하고자 하는 어업인 또는 단체도 포함 

○ 개인어장을 대상으로 하되, 어촌계·영어조합법인·내수면어업계 등 생산자단체의 양식장일 경우 단일 어장으로 간주(2인이상의 공유인 경우 공유자의 동의 필요) 

○ 양식시설을 신규로 설치하거나 장비를 구매하고자 하는 자 

○ 기존 양식시설을 증․개축하거나 장비를 교체하고자 하는 자 

○ 신용상태가 양호하거나 담보능력을 갖춘 자 

○ 사업자별 사업비 총액의 20%에 대한 자부담이 가능한 자","○ 지원한도 기준 및 범위
 - 신설
  · 총사업비 : 80억 원 이하
  · 융자지원 : 64억 원 이하
  · 본인부담 : 16억 원 이하
 - 증설 또는 개보수
  · 총사업비 : 50억 원 이하
  · 융자지원 : 40억 원 이하
  · 본인부담 : 10억 원 이하","○ 사업신청
 - 사업에 참여하고자 하는 어업인은 양식시설 현대화사업 계획서(별지 3)를 대출취급기관에 제공하고 대출취급기관은 동 계획서 검토 후 어업인에게 양식시설 현대화사업자 선정용 신용조사서(별지 4)를 발급하여야 한다.
 - 대출취급기관은 양식시설 현대화사업자 선정용 신용조사서(별지 4) 발급 시 반드시 융자 가능액을 기재하여 발급하여야 한다.
 - 사업에 참여하고자 하는 어업인은 양식관련 허가증(면허․신고) 사본, 양식시설 현대화사업 계획서(별지 3), 양식시설 현대화사업자 선정용 신용조사서(별지 4)를 구비하여 양식시설 현대화사업 융자금 지원신청서(별지 5)와 함께 주관기관에 신청한다.
  · 다만, 양식관련 허가 예정자로 양식관련 허가증이 없는 경우에는 신청사업의 사후관리기간에 준하는 양식시설예정 건축물 또는 부지의 사용가능 증빙서류를 첨부하여 신청하여야 한다.

○ 사업자 선정 및 통보
 - 주관기관은 사업신청자가 많을 경우 우선순위(별표 2)에 따라 사업자를 선정하여야 하고, 50% 범위내에서 예비대상자를 선정할 수 있다.
  · 다만, 지자체 양식어업여건에 따라 (별표 2) 외의 우선순위를 별도로 정하여 사업자를 선정할 수 있다. 
 - 주관기관은 최종 사업대상자를 선정하여 사업집행주체 및 대출취급기관에 통보한다.
 - 주관기관은 양식시설 현대화사업자 선정용 신용조사서(별지 4) 상의 융자가능액을 참고하여 사업대상자에 대한 사업비지원(융자지원) 한도를 산정하여야 한다.
 - 주관기관은 사업대상자가 중도에 사업을 포기하거 나 사업자 선정 후 3개월이내 사업이 미착수되는 경우에는 지체없이 예비대상자 또는 신규대상자로 대체하여야 한다.
 - 주관기관은 사업지원신청 수요를 바탕으로 어장여건이나 지역특성에 따라 시설의 내역, 규모 및 단가 등의 변경이 불가피한 경우 지원개소, 지원규모 및 사업신청자 경합 시 우선순위 등을 조정하여 지원할 수 있다.
 - 주관기관은 사업신청자 중 사업이 사전에 착수된 경우에는 사업대상자로 선정할 수 없다. 다만, 전년도 사업자 중 사업은 완료되었으나, 「수산사업자금 집행관리 기본규정」 제10조제1항제1호에 따라 대출기한 연장신청을 일실한 사업자에 한하여 주관기관은 현지․확인 점검을 통해 사업완료 여부와 대출기한 연장 미신청 사유 등을 확인하여 필요하다고 인정되는 경우 사업대상자로 선정할 수 있다.
  · 전년도 사업자가 재선정되는 경우는 양식시설현대화사업 계획서 등을 전년도 제출서류로 갈음할 수 있음",,044-200-5642,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000023,현금(융자),외국과의 자유무역협정 체결로 영향을 받았거나 받을 우려가 있는 해면 및 내수면 양식어업인들에게 양식시설을 현대식으로 개선하여 대외 경쟁력을 확보하고 어업인 생활 안정에 기여,자세한 날짜는 시군구청에 따라 다를 수 있음,495,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
6,119200000024,수산장비 구입 지원,소득복지과,"｢수산업ㆍ어촌 발전 기본법｣ 및 ｢농어업경영체 육성 및 지원에 관한 법률｣에서 규정하고 있는 수산인(유통·가공업체), 어업인, 어업법인 및 생산자단체","(지원자격) ｢수산업ㆍ어촌 발전 기본법｣ 및 ｢농어업경영체 육성 및 지원에 관한 법률｣에서 규정하고 있는 수산인, 어업인, 어업법인 및 생산자단체로서 수산장비를 구입하고자 하는 자

 (선정제외)「수산사업자금 집행관리 기본규정」제16조에 따라 수산정책자금 부당사용자로 지원제한 기간 미 경과자, 「수산사업자금 융자제한 등에 관한 규정」제4조에 따라 융자금 지원이 제한 된 자",융자한도액(1억원) 내에서 거래가격의 80% 지원,시군구청에 방문하여 신청,시·군·구청,000-0000-0000,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000024,현금(융자),"수산장비 구입 지원을 통해 어업인 등의 경영 부담을 경감하고, 고품질·고성능 수산기자재 사용 기반 마련으로 수산기자재 산업 육성",자세한 날짜는 시군구청에 따라 다를 수 있음,933,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
7,119200000044,수산경영인회생자금,수산정책과,"○ 어업경영체(어업인, 어업법인 등)",○ 어가부채심사 및 경영평가위원회에서 회생가능여부 심사 후 회생가능 판정을 받은 어업인,○ 어업경영자금 등 정책자금에 대해 저리의 수산경영회생자금 대환(수협은행 및 단위수협),수협은행 및 단위수협 방문하여 신청,수협은행 및 단위수협,1544-1515/1644-1515,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000044,현금||현금(융자),"건실하게 수산업을 영위하다가 재해, 어·패류질병, 적조, 수산물 가격의 급락 등 그 밖의 사유에 의하여 일시적 경영위기에 처한 어업인의 회생 지원을 통해 어가의 경영안정과 어업의 안정적 발전 도모",연중,340,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
8,119200000045,어업경영자금 지원,수산정책과,"○ 어업경영체(어업인, 어업법인 등)","○ 어업경영자금 융자 한도내에서(개인 10억, 법인 15억 한도) 농신보 보증 금액 및 개인 신용도 등에 따라 지원",○ 어업경영자금 융자(수협은행 및 단위수협),수협은행 및 단위수협 방문하여 신청,수협은행 및 단위수협,1544-1515,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000045,현금||현금(융자),어업인 금융부담완화 및 지속적인 어업활동 영위를 위한 저리의 어업경영자금 지원,,1050,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
9,119200000056,안전복지형 연근해어선 기반구축,어선안전정책과,"○ 근해어업의 허가를 받은 어선 중 선령 15년 이상 노후어선을 현대화어선으로 대체 건조하고자 하는 자
 - 노후어선 대체건조 비용 융자 신청을 위해 신용상태가 양호한 자
 - 대체건조 사업비 총액의 10%에 대한 자부담이 가능한 자","○ 어선의 종류(30%) + 선령(70%)에 따라 총점순

 ○ 총점이 같을 경우, 선령이 높은 자(진수일 기준)",○ 근해어업의 허가를 받은 어선 중 선령 15년 이상 노후어선을 어선원 안전복지 및 에너지 절감 등을 고려한 현대화어선으로 대체 건조,해당 지자체(시군구) 방문 신청,지자체,044-200-5526,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000056,현금(융자),연근해 어선의 노후화에 따른 고비용·저효율의 어선구조를 어선원 안전복지 및 에너지 절감 등을 종합적으로 고려한 고효율 구조로 전환하여 어업경영 개선과 지속 가능한 생산 인프라 구축,연초 모집공고에 따름,171,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
10,119200000059,어업활동 지원,소득복지과,사업 지원 대상자격을 갖춘 어업경영체(신청인 : 어업경영체에 등록된 경영주)로 경영주 및 경영주외 어업인,"지원 대상 : 사고·질병, 교육, 임신 등으로 영어활동이 곤란한 어업인
- 1주일 이상 진단을 받아 요양을 필요로 하는 경우로 병·의원 확인이 있는 경우
- 3일 이상 입원한 경우
- 임신부 및 출산 후 3개월이 지나지 않은 경우
- 최근 3년 이내 4대 중증질환(암, 심장질환(고혈압 제외), 뇌혈관질환, 희귀난치성질환) 진단을 받은 자로 신청일 기준 최근 6개월 이내 통원치료를 받은 경우
- ‘어업인 교육과정’ 에 참여한 여성어업인(전체 지원한도의 20% 이내, 최종집행기관 기준)임신부 및 출산 후 3개월이 지나지 않은 경우","최대 10만원(국비 50%, 지방비 30%, 자부담 20%), 1인당 최대 30일(단, 4대중증질환 및 임심출산가구는 최대60일)",시군구청에 방문하여 신청,시·군·구청,000-000-0000,해양수산부,https://gov.kr/portal/rcvfvrSvc/dtlEx/119200000059,기타||봉사/기부||현금(감면),"사고, 질병, 교육, 임신 등으로 영어활동이 곤란한 어업인에게 대체인력 채용 비원 지원",,484,2,1,1,"0,2,3,4,7,8,9",3,"2, 3, 4, 5, "
