,아이디,ori_아이디,아동,청소년,청년,중장년,노년,학생,무직,창업,농어업인,중소기업,일반,자녀여부 있음,자녀여부 없음,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,해당없음,clustering
0,1,465790,아동,@,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,0
1,2,105100000001,@,청소년,청년,중장년,노년,@,@,@,@,중소기업,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,1
2,3,119200000001,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
3,4,119200000012,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
4,5,119200000023,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
5,6,119200000024,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
6,7,119200000044,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
7,8,119200000045,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
8,9,119200000056,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
9,10,119200000059,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
10,11,119200000066,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
11,12,119200000067,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
12,13,119200000070,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
13,14,119200000073,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
14,15,119200000108,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
15,16,119200000109,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
16,17,119200000110,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
17,18,119200000111,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
18,19,119200000115,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
19,20,119200000117,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
20,21,119200000118,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
21,22,119200000126,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
22,23,119200000157,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
23,24,119200000161,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
24,25,119200000174,@,청소년,청년,중장년,@,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,3
25,26,119200000191,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
26,27,119200000192,@,청소년,청년,중장년,@,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,3
27,28,119200000193,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
28,29,119200000194,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
29,30,119200000195,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
30,31,125000000004,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,다문화/탈북민,@,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,4
31,32,125000000014,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,다문화/탈북민,@,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,4
32,33,125000000015,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,다문화/탈북민,@,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,-1
33,34,127000000002,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
34,35,131200000004,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,6
35,36,131200000006,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,7
36,37,131200000008,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,@,다자녀,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,-1
37,38,131200000014,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,-1
38,39,134200000003,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,8
39,40,134200000005,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,8
40,41,134200000014,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,9
41,42,134200000045,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,10
42,43,134200005002,@,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,11
43,44,135200000002,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
44,45,135200000003,아동,@,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,0
45,46,135200000005,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
46,47,135200000006,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,14
47,48,135200000015,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
48,49,135200000017,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,6
49,50,135200000080,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,요양환자/치매환자,@,@,15
50,51,135200000082,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
51,52,135200000090,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,6
52,53,135200000094,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,6
53,54,135200000095,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,16
54,55,135200000103,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,6
55,56,135200000113,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
56,57,135200000114,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
57,58,135200000115,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,14
58,59,135200000120,아동,@,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,0
59,60,135200000125,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,요양환자/치매환자,@,@,15
60,61,135200000130,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,16
61,62,135200000132,아동,청소년,@,@,@,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,장애인,신규전입,한부모/조손,확대가족,@,@,@,17
62,63,135200005001,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,@,@,@,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,18
63,64,135200005002,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
