서비스ID,수혜구분,보조사업여부,서비스명,서비스 목적,법령,행정규칙,자치법규,지원대상,선정기준,지원내용,온라인신청URL,신청절차,신청기한 시작일,신청기한 종료일,신청기한 상세,구비서류,소관기관유형,소관기관명,소관부서명,문의처명,문의처전화번호,문의처사이트URL,서비스분류,생애주기,서비스 대상지역,대상특성 및 가구유형,지원유형,지원형태,대국민표출여부
999000000000 ,수혜적,국고보조사업,농어가목돈마련 저축장려금,"농어가목돈마련저축 가입자에게 만기도래시 저축기관(농·수협, 산림조합)이 지급하는 기본금리 외에 법정장려금을 추가로 지급함으로써 가입자인 농어민의 재산형성을 지원하고 저축의욕을 높여 농어민의 안정된 생활기반을 조성하는데 기여",[법률]농어가목돈마련저축에 관한 법률(제6조)||[대통령령]농어가목돈마련저축에 관한 법률 시행령(제11조),없음,없음,○ 전제조건  <개정 2023. 3. 21.> - 「농업ㆍ농촌 및 식품산업 기본법」 제3조제2호에 따른 농업인  - 「수산업ㆍ어촌 발전 기본법」 제3조제3호에 따른 어업인  ○ 「농어가목돈마련저축에 관한 법률 시행령」 제2조(농어민의 범위 등)에 해당할 것 <개정 2023. 9. 19.> - 일반 농어민   ㆍ「국민건강보험법」 제5조에 따른 건강보험 가입자로서 같은 법 제69조에 따라 납부하는 월별 보험료액이 같은 법 시행령 제32조제1호가목에 따른 전전년도 평균 보수월액보험료의 1.5배 이하의 범위에서 금융위원회가 정하는 금액 이하인 사람   ㆍ「국민건강보험법」 제5조제1항 각 호의 어느 하나에 해당하는 사람   ㆍ「국민건강보험법」 제5조제2항에 따른 피부양자  -저소득 농어민   ㆍ제1항제1호의 사람(「국민건강보험법」 제5조에 따른 건강보험 가입자로서 같은 법 제69조에 따라 납부하는 월별 보험료액이 같은 법 시행령 제32조제1호가목에 따른 전전년도 평균 보수월액보험료의 1.5배 이하의 범위에서 금융위원회가 정하는 금액 이하인 사람) 중 「국민건강보험법」 제69조에 따라 납부하는 월별 보험료액이 금융위원회가 정하는 금액 이하인 사람 또는 제1항제2호ㆍ제3호에 따른 사람○ 「농어가목돈마련저축에 관한 법률 시행령」 제2조 제3항에 따라 다음에 해당하는 사람은 가입 대상에서 제외 - 농업인으로서 종사하는 분야 외의 분야에서 상시 근로하고 있는 사람 - 농어민으로서 종사하는 분야 외의 분야에서 직전 연도에 발생한 종합소득금액이 직전 연도 기준 중위소득의 100분의 40 이상인 사람,지원대상과 동일,"○ 저축기관이 저축금액에 대하여 지급하는 이자 외에 저축 장려금(0.9~4.8%)을 지급    - 장려금 지급률은 다음과 같음     ㆍ일반 농어민, 5년 : 1.5%     ㆍ일반 농어민, 3년 : 0.9%     ㆍ저소득농어민, 5년 : 4.8%     ㆍ저소득농어민, 3년 : 3.0%",,"관할 농축협, 수협, 산림조합에 방문",,,없음,"1. 공통서류 : 농어가목돈마련저축 계약당사자 확인서, 주민등록등본, 건강보험증(건강보험자격 득실확인서), 소득금액증명원, 금융거래정보 조회 요청(동의)서2. 농업인：가입자격을 확인할 수 있는 각종 서류 등3. 양축가：가축사육사실 현장확인서(현장 방문 확인 사진 첨부)4. 어업인：어업면허(허가)증, 어업신고증명서, 어업경영(종사)확인서 등 서류 중 하나5. 임업인 : 임야대장(또는 토지대장)과 아래 서류 중 하나   - 임산물 출하(또는 판매) 증명서, 종묘생산업 등록증, 임업종사사실확인서",중앙행정기관,금융위원회,은행과,농업협동조합 외,16**-28**,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
116000000000 ,수혜적,국고보조사업,월세 자금보증,저소득층 등에게 월세자금보증을 하여 저소득층의 주거 안정성 제고,[법률]한국주택금융공사법(제2조),없음,없음,○ 보증금 1억 원 이하 및 월세금 60만 원 이하인 월세 계약을 체결한 주택도시 기금 주거안정 월세대출 대상자,○ (주택도시기금 주거안정 월세대출 대상자 요건) 무주택 세대주(세대원 전원 포함)로서 다음 중 하나에 해당하는 경우 지원- 취업준비생(신청일 현재 만 35세 이하의 무소득자이며 부모 소득이 6천만원 이하인 자)- 희망키움통장 가입자- 최근 1년 이내 수급사실이 인정되는 근로장려금 수급자- 취업 후 5년 이내인 사회초년생으로 신청일 현재 만 35세 이하이며 부부합산 연소득 4천만원 이하인 자- 최근 1년 이내 수급사실이 인정되는 자녀장려금 수급자- 주거급여 수급자- 부부합산 연소득 5천만원 이하인 자로 위 5개 대상자에 해당되지 않는 자,○ 주택도시기금 주거안정 월세대출 요건을 충족하는 대상자에 대해 월세자금보증 지원 - 월세금을 2년간 환산한 금액의 90%를 지원,,"신청 방식 : 은행 방문신청 절차1. 은행 방문 및 상담 신청2. 보증, 대출 상담 및 보증, 대출금액 산정3. 보증, 대출 신청 및 서류 제출4. 보증, 대출 심사 및 승인5. 대출금 수령",,,주택도시기금 주거안정 월세대출 규정에 따름,"주민등록등본, 신분증, 확정일 자부 월세 계약서 사본, 계약금 지급 영수증, 등기사항전부증명서, 최종학교 졸업증명서, 희망키움통장 유지확인서 등 대상에 따라 추가서류 필요",중앙행정기관,금융위원회,금융정책과,해당없음,해당없음 ,해당없음,주택·부동산>주택자금지원>주택자금 지원,청년||중장년||노년기,해당없음,저소득층,상담/법률지원,현금(융자),표출
SD0000003173,수혜적,국고보조사업,주택담보 노후연금 보증 지원,소득이 없거나 부족하여 노후 생활에 어려움을 겪고 있는 고령층에 대해 보유하고 있는 주택을 담보로 매월 일정 금액의 대출금을 연금 형식으로 지급하여 안정적 수입을 보장하고 평생 주거를 보장함으로써 노후 생활 안정 도모,[법률]한국주택금융공사법(제2조),없음,없음,○ 일반 주택연금 - 부부 기준 공시가격 9억원 이하 1주택 소유자 혹은 보유주택 합산가격 9억원 이하 다주택자 - 공시가격 9억원 초과 2주택자는 3년 이내 1주택 처분조건으로 가입 - 부부 중 1인 만 55세 이상○ 우대형 주택연금 - 시가 1.5억원 미만 주택소유자 - 부부 기준 1주택 소유자 - 부부 중 1인 기초연금 수급자,○ 부부 중 1인 만55세 이상의 9억원 이하 주택 소유자(우대형 주택연금은 1.5억원 미만 1주택 소유자),"○ 주택연금 월 지급금 지급(주택 가격 및 연령에 따라 산정) 및 종신 거주 보장○ 주택연금 일시 인출금(주택 가격 및 연령에 따라 산정)으로 선순위 채권(대출금, 임차보증금 등) 상환 가능○ 세제 혜택 - 근저당설정 시 등록면허세 : 시가표준액 5억원 이하 1가구 1주택자인 경우 75%감면, 시가표준액 5억 초과 또는 다주택자는 등록면허세액이 3백만원 이하인 경우에 75% 감면적용(2024.12.31까지), 교육세는 등록면허세 감면에 따른 75% 감면효과, 농어촌특별세 및 국민주택채권 매입 면제 - 재산세 : 시가표준액 5억원 이하인 경우 25% 감면, 5억원 초과 시 5억원에 해당하는 재산세의 25% 감면(1가구 1주택인 경우로 한정, 2024.12.31까지) - 연금소득자의 경우 주택연금 대출 이자비용 소득공제(200만 원 한도)",https://www.hf.go.kr,"방문, 웹사이트",,,없음,"주민등록등본 2부, 전입세대 열람표, 가족관계증명서, 인감증명서 3부, 등기권리증 등",중앙행정기관,금융위원회,금융정책과,해당없음,1688-8114,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
119000000000 ,수혜적,국고보조사업,귀어 창업 및 주택구입 지원(융자),"귀어업인이 되기를 희망하는 도시민들이 어촌지역에 안정적으로 정착할 수 있도록 창업(수산업, 어촌비즈니스업) 및 주택마련 자금을 지원하여 어촌사회 활력 제고",[법률]수산업ㆍ어촌 발전 기본법(제15조)||[법률]귀농어ㆍ귀촌 활성화 및 지원에 관한 법률(제7조),없음,없음,"○ 귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자",○ 사업대상자 및 지원자격 요건을 갖춘 자 중에서 시·도지사(시장·군수·구청장)가 심사를 거쳐 지원대상자로 선발한 자,"○ 지원대상자로 선정된 자가 사업(일부완료 또는 완료) 후 담보(신용, 물건)를 제공하고, 금융기관(수협은행)에서 융자를 받으면, 해양수산부에서 이자 차이(기준금리-대출금리 2.0%)를 지원",,시군구청에 방문하여 신청,,,농어촌지역 전입일로부터 만 5년이내 신청 가능,귀어업인·재촌비어업인 창업자금 및 주택마련지원 신청서,중앙행정기관,해양수산부,어촌어항과,지방자치단체 수산 총괄 부서,1899-9597,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
119000000000 ,수혜적,국고보조사업,수산장비 구입 지원,"수산장비 구입 지원을 통해 어업인 등의 경영 부담을 경감하고, 고품질·고성능 수산기자재 사용 기반 마련으로 수산기자재 산업 육성",[법률]수산업ㆍ어촌 발전 기본법(제24조),없음,없음,"수산업ㆍ어촌 발전 기본법 및 농어업경영체 육성 및 지원에 관한 법률에서 규정하고 있는 수산인(유통·가공업체), 어업인, 어업법인 및 생산자단체","(지원자격) 수산업ㆍ어촌 발전 기본법 및 농어업경영체 육성 및 지원에 관한 법률에서 규정하고 있는 수산인, 어업인, 어업법인 및 생산자단체로서 수산장비를 구입하고자 하는 자 (선정제외)「수산사업자금 집행관리 기본규정」제16조에 따라 수산정책자금 부당사용자로 지원제한 기간 미 경과자, 「수산사업자금 융자제한 등에 관한 규정」제4조에 따라 융자금 지원이 제한 된 자",융자한도액(1억원) 내에서 거래가격의 80% 지원,,시군구청에 방문하여 신청,,,자세한 날짜는 시군구청에 따라 다를 수 있음,"사업신청서, 사업계획서",중앙행정기관,해양수산부,소득복지과,해당지역 시군구청,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
119000000000 ,수혜적,국고보조사업,어업경영자금 지원,어업인 금융부담완화 및 지속적인 어업활동 영위를 위한 저리의 어업경영자금 지원,"[부령]수산업의 장려 및 진흥을 위한 자금의 융자에 관한 규칙(제0의0, 제0항)||[법률]수산업법(제93조)","[훈령]어업경영자금 운용요령(제0조의0, 제0항)",없음,"○ 어업경영체(어업인, 어업법인 등)","○ 어업경영자금 융자 한도내에서(개인 10억원, 법인 15억원 한도) 농신보 보증 금액 및 개인 신용도 등에 따라 지원 - 2024년의 경우 특별 공급규모(양식어업 4,500억원, 어선어업 8,200억원) 내에서 한도 한시적 상향(개인 15억원, 법인 20억원 한도)",○ 어업경영자금 융자(수협은행 및 단위수협),,수협은행 및 단위수협 방문하여 신청,,,연중,어업인 확인서 등 대출취급기관(수협은행) 요청자료,중앙행정기관,해양수산부,수산정책과,수협은행,1544-1515,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
119000000000 ,수혜적,국고보조사업,수산식품 기업 바우처,"수산물 생산가공유통수출업체의 품질관리, 상품개발, 시장개척, 정보수집, 홍보활동 등을 통하여 수산물 유통무역 시장 확대",[법률]수산업ㆍ어촌 발전 기본법(제45조),없음,없음,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,"글로벌 수산식품 수출 기업 육성을 위해 컨설팅, 상품개발, 해외 마케팅 등에 필요한 비용 지원",http://global.at.or.kr,온라인 서류제출,,,별도 공고기한내,지원신청서 및 증빙서류 등,중앙행정기관,해양수산부,수출가공진흥과,해당없음,061-931-0851,해당없음,창업·경영>기업운영지원>마케팅/수출 지원,영·유아||아동·청소년||청년||중장년||노년기,해당없음,기업인||중소기업/소상공인||농축수산인,해당없음,현금,표출
119000000000 ,수혜적,국고보조사업,"방역사업비 지원(질병 예찰 및 방역, 교육)","방역조치 활동(긴급방역비) 및 방역교육, 위촉공수산질병관리사 수당 및 경비 지원","[법률]수산생물질병 관리법(제43의0, 제0항)||[법률]양식산업발전법(제66조)",없음,없음,"「양식산업발전법」에 따른 양식업자 및 양식업종사자, 수산생물관련단체(대한수산질병관리사회 포함), 병성감정실시기관, 방역수행기관",ㅇ 「농어업재해보험」에 따른 양식보험가입어가 및 「농수산물품질관리법」에 따른 HACCP 등록 양식장에 대해 우선순위로 지원할 수 있음  ㅇ 「수산생물질병 관리법」 제38조 및 같은 법 시행규칙 제38조에 따라 방역교육을 받지 않은 수산생물양식자 및 그 종사자(양식업자 및 그 종사자)에 대하여는 지원을 제한함  ㅇ 재원조달 계획이 명확하여 재원(자담)이 이미 확보된 사업자에 한 함  ㅇ 영어조합법인 등의 경우 (「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 경영정보를 등록하여야 함).    - 영어(농)조합법인 지원요건 및 사후관리기준에 적합한 사업자에 한 함,"○ 방역교육, 위촉공수산질병관리사 수당 및 경비, 방역사업 및 질병 진단에 드는 경비  - 방역교육 비용(식사료 제외)  - 방역업무 수행에 필요한 위촉공수산질병관리사의 수당 및 경비(방역관 및 위촉공수산질병관리사의 방역복 포함)  - 방역사업 및 질병 진단에 필요한 제 경비(시약 및 재료비, 홍보물 제작 비용, 단 소독제, 투약치료제 제외)  - 방역교육은 (사)대한수산질병관리사회 등에 위탁하여 교육의 효율성 제고(위탁 계약 시 시도에서 일괄 계약 추진)  - 지원조건 : 국고 50%, 지방비 50%",,"○ 사업을 희망하는 자는 사업계획을 수립하여 시군구 및 지자체 소속 방역 수행기관에 신청(매년 1월 20일까지)○ 시군구 및 지자체 소속 방역 수행기관은 직접 사업을 하고자 하거나 사업을 희망하는 사업자가 있는 경우 사업계획을 수립(지방비자부담 확보 등)하여 시도에 제출○ 시도는 사업대상자 적격 여부, 지원내용조건, 재원조달계획 등 사업의 타당성을 검토하고, 그 결과를 토대로 추천 우선순위를 정하여 시도 단위 사업계획을 수립하여 해양수산부에 사업수요 제출(매년 3월 31일까지)",,,사업자 모집 공고 참고,사업자 모집 공고 참고,중앙행정기관,해양수산부,어촌양식정책과,해당없음,해당없음 ,해당없음,환경·재난>예방/대비>방지대책,영·유아||아동·청소년||청년||중장년||노년기,해당없음,농축수산인,해당없음,현물,표출
119000000000 ,수혜적,국고보조사업,낚시 전문교육 제공,낚시전문교육 시행을 통해 안전관리 및 수산자원보호 등에 대한 전문지식을 습득하게 함으로써 안전사고 예방 및 수생태계를 보호,"[법률]낚시 관리 및 육성법(제47의0, 제0항)",없음,없음,"○ 낚시터업자, 낚시어선업자(선원 포함)","○ 교육 대상자 선정기준은 교육 유형에 따라 다름○ 낚시어선 전문교육: 낚시어선업자, 낚시어선에 승선하는 선원(선장, 선원, 조리장, 안전요원 등)○ 낚시터 전문교육: 낚시터업자○ 낚시어선 신규·재개자 전문교육: 낚시어선업 최초 신고자, 안전사고 발생으로 영업정지 후 영업을 재개하려는 낚시어선업자","○ 낚시어선 전문교육  - (교육대상) 낚시어선업자, 낚시어선 선원(선장·사무장·조리사·안전요원 등 포함) - (교육내용) 낚시어선 관련 법규 및 수산자원 보호, 해상교통 관련 법규, 선박안전 및 운항, 사고유형별 안전 및 비상조치 - (교육시간) 매년 4시간 이상 - (교육방법) 권역별 집합교육(코로나 19 등 감염병 확산 시 온라인 교육으로 대체)○ 낚시터 전문교육 - (교육대상) 낚시터업자 - (교육내용) 낚시 관련 정책 및 법규, 어류생태 및 수질관리, 인명구조 및 응급조치, 낚시터 관리 및 운영 - (교육시간) 매년 4시간 이상 - (교육방법) 권역별 집합교육(코로나 19 등 감염병 확산 시 온라인 교육으로 대체)○ 낚시어선 신규·재개자 전문교육 - (교육대상) 낚시어선업 최초 신고자, 안전사고로 영업정지 후 영업을 재개하려는 낚시어선업자 - (교육내용) 낚시어선 관련 법규 및 수산자원 보호, 선박운항 설비, 해상교통법규, 항해장비, 기관관리, 사고유형 및 비상대응조치, 소화훈련, 해상생존훈련 및 구명장비 사용법, 응급처치 및 승객안전관리 등 - (교육시간) 매년 21시간 이상 - (교육방법) 집합교육",http://www.naksinuri.kr,온라인 신청,,,연중,해당없음,중앙행정기관,해양수산부,수산자원정책과,없음,1833-7139,해당없음,창업·경영>업종별민원>예술/스포츠/여가사업,청년||중장년||노년기,해당없음,중소기업/소상공인||농축수산인||일반,해당없음,기타(교육),표출
119000000000 ,수혜적,국고보조사업,항로표지 전문교육 지원,"항로표지 분야의 전문인력의 양성, 교육 지원 및 관리","[법률]항로표지법(제46조, 제3항)",없음,없음,○ 한국항로표지기술원,○ 항로표지법 시행령 제19조,"○ 항로표지 전문인력의 양성 및 교육ㆍ훈련에 관한 사항, 교육프로그램의 개발 및 보급",https://katon.or.kr,우편(세종특별자치시 다솜2로 94 해양수산부 항로표지과),,,연중,해당없음,중앙행정기관,해양수산부,항로표지과,없음,044-200-5872,해당없음,결혼·육아·교육>공공지식>행정기관정보,영·유아||아동·청소년||청년||중장년||노년기,해당없음,일반,해당없음,현금,표출
